uid,task1,map1,confidence1,information1,strategy1,inside1,outside1,arrival1,moves1,ratio1,time1,explore1,task2,map2,confidence2,information2,strategy2,inside2,outside2,arrival2,moves2,ratio2,time2,explore2,understanding,familiarity,studyarea,pointing,browser,cvd,cvdYes,gender,age,remarks
id7b450746a68bb,AB,default,5,3,I was looking at the amount of crossings and whether I have to turn left or right after the crossing,41,3,True,44,0.931818181818182,171597,0.342220056256132,CD,color,5,3,"I was looking on the number or the building first and the street to locate myself on the map, also at the color of the building. Then I just looked at the crossings and and where should I turn after the crossing",54,1,True,55,0.981818181818182,152598,0.233278460260082,color of the facade ,5,1,Mouse,Chrome,No,,Male,25,
id12e2a4026d4c8,AB,color,5,4,Looking at the colors of the map comparing them to the color of the building on street view + the name of the streets ,42,6,True,48,0.875,211225,0.516905752072092,CD,default,2,2,street name ,41,20,True,61,0.672131147540984,222990,0.345263796235445,the colors of the buildings on the street ,5,1,Touchpad,Chrome,No,,Female,25,
id1ec4ed3b9176c,AB,default,5,3,Count / follow the intersections.,23,1,True,24,0.958333333333333,68424,0.232449233540479,,,,,,,,,,,,,,,,,,,,,,
id0662bbe0fe98,AB,default,2,1,"count the number of blocks and then move in a direction and see if the streets match up, if it hasn't i go back the other way and reorient and figure it out again, if i get lost again i check the map to see where i've gone.",32,13,True,45,0.711111111111111,159465,0.414882836027836,,,,,,,,,,,,,,,,,,,,,,
id6d478e9510915,AB,color,4,3,counting the intersections,29,1,True,30,0.966666666666667,103397,0.35358359219659,CD,default,4,3,by street names,24,0,True,24,1,166699,0.556973948503879,the actual color of the building,5,1,Mouse,Firefox,No,,Female,27,
id39bfdb2fd5fb,AB,color,5,4,The colors of the buildings in the street view matching with that of the polygon in the mapbox was helpful in navigation.,30,2,True,32,0.9375,315080,0.970123063376873,,,,,,,,,,,,,,,,,,,,,,
idaed63045389ec,AB,default,5,3,"Figure out which direction to go based on street features, then follow the line and verify with street signs. ",25,2,True,27,0.925925925925926,106846,0.481862697804632,,,,,,,,,,,,,,,,,,,,,,
idd7cbb7f07890c,AB,default,2,4,Repair street names and unique sense road,15,46,True,61,0.245901639344262,759316,0.649661985331719,,,,,,,,,,,,,,,,,,,,,,
id81fca79b65487,AB,default,4,5,Look at street signs to see where I am and where I am going,37,0,True,37,1,149990,0.211871690787164,CD,color,4,4,Reading street signs,57,12,True,69,0.826086956521739,215834,0.591539944454888,Building Color ,5,1,Mouse,Chrome,No,,Female,25,
idc682f0669954e8,AB,default,2,3,To follow the path on the map,2,25,False,27,0.0740740740740741,84411,0.31410187129824,CD,color,3,3,Look at the name of the streets and on the map,34,1,True,35,0.971428571428571,167756,0.251917794267437,the color of the buildings,3,1,Touchpad,Firefox,No,,Female,23,
id95fbb8cbce8a6,AB,color,4,4, ,31,1,True,32,0.96875,180085,0.4822817746262,,,,,,,,,,,,,,,,,,,,,,
id0b6c6ec1775f2,AB,color,4,3,Look at street signs to see whether I was going the right way.  Then I counted by blocks. ,30,3,True,33,0.909090909090909,181641,0.257731301908482,,,,,,,,,,,,,,,,,,,,,,
idf74c330cf9c7a,AB,default,5,2,"Looking at the street names on the panoramic images, also zoom closer on the map to see house numbers and compare them with the house numbers I see on the street view; also, I could prefer a shortcut and make my route easier, but I followed the route :D",52,4,False,56,0.928571428571429,248573,0.30358224036626,,,,,,,,,,,,,,,,,,,,,,
id29b75a03099e98,AB,color,4,3,i looked for the streetname and after-than i have counted the crosses and direction straight left right...,44,2,True,46,0.956521739130435,188471,0.0811876118043174,CD,default,2,3,i started in the wrong way there was no idea aboutnoth south,37,39,True,76,0.486842105263158,673910,0.275831059066539,"funktion like bars , restaurant offical buildings and so on? by the way i am colorblinde",2,1,Mouse,Firefox,Yes,red green blind hallo Luka!!,Male,57,"very good made, congratulation for this preparation it was clear what to do"
id775843815dae1,AB,color,5,2,"I was looking for the colors of the houses. Just to be sure, I also looked at the names of the streets. I also think that only the bright colors of the houses could provide me with useful information. See you soon, your Mukaka. <3",68,1,True,69,0.985507246376812,224605,0.444163272025729,CD,default,5,2,I just counted the crossings and also checked the names of the streets.,48,12,True,60,0.8,194904,0.52270634668493,color of the houses.,5,1,Mouse,Chrome,No,,Male,26,When is the map for Muschkau coming out !?
id3c182b6f343f9,AB,default,2,1,Using street name,22,12,True,34,0.647058823529412,304605,0.264607452900478,CD,color,3,3,Mix of street names and building color,40,0,True,40,1,217300,0.307575091112973,Building segmentation and color indication,5,1,Touchpad,Chrome,No,,Male,58,Super smart way to test. (PhL <3)
id23da2b8c61b95,AB,default,5,4,Follow the path and pay attention to street names,47,0,True,47,1,188863,0.159674129554534,CD,color,5,4,"Same as before, follow street names",45,1,True,46,0.978260869565217,154053,0.19837443074632,"Full vs empty spaces, each belonging to a specific category",5,2,Touchpad,Chrome,No,,Male,30,Good luck for your paper !
id71ddfa26180e7,AB,default,5,3,Looking at the names of the streets on the street view and counting how many streets I needed to navigate,20,3,True,23,0.869565217391304,110587,0.483885520142793,CD,color,5,3,"I used the same strategy, but now I tried to be more precise at the ending point with the help of the colors of the buildings, as they were similar in the street view and the map",25,5,True,30,0.833333333333333,159529,0.692634722258775,The color of the building in reality,5,2,Mouse,Chrome,No,,Male,27,
idf25d6a7b7b36a,AB,default,2,2,I didn't succeed...I would have liked to see where I was on the left handside map.,14,32,False,46,0.304347826086957,449672,0.437749319447623,CD,color,4,4,I am not sure I succeeded...The colors on the little map helped a lot.,14,15,False,29,0.482758620689655,145239,0.395754151442986,Maybe older and more recent buildings...,3,1,Touchpad,Chrome,No,,Female,50,"That would be great if we could go back to the beginning in one click, like a ""reset"", to try again..."
idebb1c6e558bec,AB,color,4,3,Counting the crossing roads before turning right or left,24,0,True,24,1,62911,0.383605335600583,,,,,,,,,,,,,,,,,,,,,,
idbbe4c7f9daf47,AB,color,4,4,I just tracked the road taking care of being in the right direction.,23,19,True,42,0.547619047619048,304658,0.499966313264247,CD,default,4,4,Same,43,4,True,47,0.914893617021277,203857,0.32906126371649,.,3,1,Touchscreen,Chrome,No,,Male,22,
ide788c3f8a7595,AB,color,5,4,Counting the crossing roads before turning left or right,20,2,True,22,0.909090909090909,34410,0.21071890719304,CD,default,5,3,Counting the crossing roads before turnig left or right,21,0,True,21,1,69018,0.583326701226809,If they are high or low ?,5,1,Mouse,Chrome,No,,Female,21,
idd1dd7ee5dc40e,AB,default,5,3,Read street's name,26,5,True,31,0.838709677419355,221540,0.609482636261338,,,,,,,,,,,,,,,,,,,,,,
id717dcebcb9f0d,AB,color,4,3,I used the street names of the side streets as a guide,27,4,True,31,0.870967741935484,265358,0.601492535211905,CD,default,5,3,I used the street names of the side streets as a guide,27,0,True,27,1,147631,0.457090285864484,"I didn't pay attention to that, maybe building colors?",5,3,Mouse,Chrome,No,,Male,52,
id4604e7adc180f,AB,default,4,4,"My strategy was to look at the street name in both the street view and the map view, count on the map the number of streets I had to pass before turning and with the map, see if I needed to go left or right.",27,2,True,29,0.931034482758621,140622,0.24265477126033,,,,,,,,,,,,,,,,,,,,,,
id8edaad78667f8,AB,color,4,2,"1) Check by the street names and the angles of the street in the distance in which direction camera is facing at location A 2) check street name and direction given in the map 
- hard no hit the button sometimes at the right postion to continue , the images very loading slowly to my limited internet speed. Because of that I sometimes needed to wait like 15 seconds at a intersection to check the street names if I was not sure. , also possible to just check the number of intersection which should be there, but I felt bether with checking the street names to don't to a mistake",33,0,True,33,1,166345,0.473397684259559,,,,,,,,,,,,,,,,,,,,,,
idb7c873e12f774,AB,color,4,3,"to look for the most distinctive colours of the buildings on the map, and then make sure I could see this colour on the street view panel, so I could tell whether I was taking the correct path. ",42,0,True,42,1,163144,0.392142738687196,CD,default,3,2,"look for the most distinctive buildings in terms of shapes on the map, then seeing if they were matching with the buildings I was looking at on street view. Once I oriented myself in the beginning I was counting blocks to go straight or turn left/right, but still checking every now and then with the method I mentioned.",41,1,True,42,0.976190476190476,168416,0.335855755416212,the main colour of the buildings,5,2,Mouse,Chrome,No,,Male,26,"It was challenging in a way, but very nice to do!"
ida422b39be226a,AB,default,5,4,"Finding the orientation of the map i use the little road that bend on the left , then i proceed to follows the maps by counting the numbers of roads",35,3,True,38,0.921052631578947,111268,0.264343887784112,,,,,,,,,,,,,,,,,,,,,,
idc491e82200c1e,AB,default,5,3,"follow the map, check streets names to be sure, count the intersections. Didn't follow the path",20,4,True,24,0.833333333333333,183702,0.629671154228976,CD,color,4,3,"same as previous, colors didn't really help nor disturbed me ",26,3,True,29,0.896551724137931,433019,1.83622026899421,match the colors of the buildings,4,1,Mouse,Chrome,No,,Male,31,
id61f205a6f7197,AB,color,1,1,"on every crossing, i zoomed in to read the name of the street",25,14,True,39,0.641025641025641,203542,0.199422450655463,CD,default,1,1,the same like bevore. was was the difference?,14,17,False,31,0.451612903225806,221138,0.324416677613755,to find orientation points,1,1,Mouse,Chrome,No,,Male,53,on every crossing you should see a large arrow on the bottom
id9bc287033e2348,AB,default,5,3,"Count the number of streets I had to come across on the map, then count it in street view. Assure myself I was on the right path by checking road names.",25,0,True,25,1,89445,0.18259065331903,CD,color,5,3,"Same as before, but I checked the colors on the map to know if I was in front of the right building.",32,1,True,33,0.96969696969697,110245,0.344228076464803,Different types of buildings,5,1,Mouse,Firefox,No,,Female,34,
id3d98c4c14408a,AB,color,3,3,"I started looking at the colors in the buildings around me, but then I got to a corner (I think it was the 2nd one) and could find the buildings with the actual colors that I had on the map, so I got somewhat lost, and had to take a guess of where to go next, and then I just stopped paying attention to the colors of the buildings, but rather I focused on the amount of blocks.",35,2,True,37,0.945945945945946,197147,0.399230490592027,CD,default,2,1,"I tried to guess the direction I was facing at first, by seeing how big the blocks were in both directions, and then by checking the sun was hitting from the south, so I then knew I had to go north-west, and started counting the blocks.",41,0,True,41,1,137762,0.557572300171111,"I guess the facades' colors, or at least that's what I thought when using the first map, as the buildings in the corners where I was standing matched the colors on the map (besides, there was no legend about the colors being something else).",5,1,Mouse,Chrome,No,,Male,25,It was fun :)
id031646ae0d1de,AB,default,5,2,check N-S street names and keep track of the curvature of the roads,38,0,True,38,1,149807,0.286908501922109,CD,color,5,3,"check street names, shapes and colors of buildings",27,3,True,30,0.9,143739,0.415662000323811,"based on the map activity, colors of building facades. if it was based on intuitive understanding without having done the map activity, i might guess the colors indicated types of establishments (e.g. brown = museum, gray = store, etc)",5,1,Touchpad,Chrome,No,,Female,27,
ida4b7364a8270f,AB,color,2,2,Ich bin den Straßenbezeichnungen gefolgt.,28,2,True,30,0.933333333333333,270400,0.315788364274691,CD,default,2,2,Ich folgte den Straßennamen,24,3,True,27,0.888888888888889,265385,0.464705924517378,Die Farbe der Häuser,3,1,Mouse,Chrome,Maybe,Rot-Grün-Schwäche,Male,56,
id802035d1414358,AB,default,4,3,paying attention to street names and routing the crossroads,24,1,True,25,0.96,240873,0.602246982704862,,,,,,,,,,,,,,,,,,,,,,
id1244c7cde0067,AB,color,4,3,"for the beggining, search for the 2 parralels roads ( at the opposite of our direction ) the counting the streets to know when to turn ( but sometimes the ""3d view"" goes too fast), and checking the street names on the map and the 3d view",24,4,True,28,0.857142857142857,146512,0.7204173498085,CD,default,4,3,"check the street names on map and 3D view, click on the crosses on the 3D view to stop in the middle of the crossroad, count the streets",26,1,True,27,0.962962962962963,234693,0.585500923513872,colour of the front face,4,1,Touchpad,Chrome,No,,Female,24,"was a fun game, but I feel like I was really slow. I'm curious to know what you will do with it "
ida8d82ca119333,AB,default,4,2,"firstly, check my direction by associating distinct places with the real view+map view. I only did this once.
Then count the number of streets i need to pass before turning. Check the street name by zooming in both views. repeat.",37,1,True,38,0.973684210526316,112089,0.234091610222711,CD,color,4,2,"same as before, but I initially tossed a coin to choose my first direction. Checked the first street name i encountered and it matched with the map. ",43,0,True,43,1,212887,0.402370137478053,colors of the buildings ?,5,1,Touchpad,Chrome,No,,Male,25,"I'm a fan of direction pointers on maps. I would feel lost without it in real life. Here, I had google street view so covering large distances just to check a street name was not a problem. In real life, I'm not walking 100m just to check if I'm walking in the right direction."
id925c7e8e876a6,AB,color,5,5,"pick the right direction at the start, and then just count the number of roads to the left or right i need to pass by, pretty easy i guess ? i hope i did well lol",27,1,True,28,0.964285714285714,93755,0.379033882809599,CD,default,4,3,"Same as before, just more time to locate myself at the start",20,1,True,21,0.952380952380952,155559,0.848611135884256,colors of the roof of the actual building,5,1,Touchpad,"Arc (Chromium-based, so basically same functionnalities as Chrome)",No,,Male,23,
id1b79806d054c48,AB,color,4,3,"je me suis repérée grâce au nombre de croisements et a la topologie de la rue, et une fois au chiffre quand je n'étais pas sure à quel croisement je me trouvais",37,2,True,39,0.948717948717949,257753,0.581094862176825,,,,,,,,,,,,,,,,,,,,,,
id55c42d8adab5a,AB,color,2,2,zoom to read street names and analize the shape of the streets,21,1,True,22,0.954545454545455,142250,0.421418408555143,CD,default,3,2,"zoom to read first street names and orientate myself, and then count intersections ",33,2,True,35,0.942857142857143,133988,0.385628666008445,the colors of the facades,5,1,Mouse,Firefox,No,,Male,24,I felt more confortable with the second test only because I practiced with the first one before
ide37f66ba80772,AB,color,5,4,"Check the map, look when and where I need to turn, go to the crossing, then repeat",33,2,False,35,0.942857142857143,76001,0.0994572493599749,CD,default,5,3,"Look at the map, identify the four streets at the C crossing by finding the one that did not go far in the distance (only one of them stopped after two blocks) to orient myself, then I just had to follow the path",38,1,True,39,0.974358974358974,120522,0.245858082201235,"Nothing particular, just contrast between adjacent buildings",5,1,Touchpad,Firefox,No,,Male,23,I would have liked to know how well I did on the pathfinding
idf6b4b52c04e67,AB,color,4,2,folow path showed,16,12,False,28,0.571428571428571,75565,0.241794692677514,,,,,,,,,,,,,,,,,,,,,,
id52ad17c328681,AB,color,5,3,looking at how many roads to cross by before making the corresponding turns,45,1,False,46,0.978260869565217,123660,0.0528912722545428,,,,,,,,,,,,,,,,,,,,,,
id8fc2a45a071c4,AB,default,4,1,See the groundplan and find details on the view to navigate,33,2,True,35,0.942857142857143,138366,0.303268635795587,,,,,,,,,,,,,,,,,,,,,,
id41b7914390b52,AB,default,5,3,"First I found the street sign to navigate in the right direction, then I just counted the intersections in the direction. Also, if the street was curved on the map, I checked if it was curved in reality to make sure I was going in the right direction.",21,1,True,22,0.954545454545455,141796,0.371675281117023,CD,color,4,4,"First I found the street sign to navigate in the right direction, then I just counted the intersections in the direction. Also, if the street was curved on the map, I checked if it was curved in reality to make sure I was going in the right direction. I used the same strategy as for the first task, but also checked the color of the buildings to be sure. Sometimes it helped, but sometimes the color on the map was darker and it was confusing. ",26,1,False,27,0.962962962962963,190868,1.08006604787518,Main color of the building,5,1,Touchpad,Chrome,No,,Female,29,
id7467525ab5c32,AB,color,4,4,Check the colors of the buildings in the corners to know when to turn. ,43,0,True,43,1,131936,0.15565255078554,,,,,,,,,,,,,,,,,,,,,,
id270631e39b8418,AB,color,4,4,Locate the street names to be sure I'm turning at the right intersection.,25,2,True,27,0.925925925925926,92298,0.418298891312863,CD,default,4,3,"Same as before, I mostly use the street names and a bit of the sun and shadoxs to get the orientation right at the beginning.",22,3,True,25,0.88,100433,0.414741819402373,Each color represent a different building,5,1,Mouse,Firefox,No,,Male,32,
id44e8368cd5a4d8,AB,color,4,2,"Make sure I was facing the right way (check what I could see, and the street name) then count the intersections.",73,2,True,75,0.973333333333333,171117,0.111110536054654,CD,default,4,2,Ensure I was facing the right way (check the street names and directions) then count the intersections.,73,4,True,77,0.948051948051948,192333,0.174672233442946,"They seem to be the actual colours of the buildings, though often not the ground floor.",5,1,Touchpad,Firefox,No,,Male,33,I'd love to know what you were trying to learn :-D
id8390fe6831bd98,AB,default,2,1,check street signs,25,16,True,41,0.609756097560976,234177,0.377350818777854,CD,color,3,3,check house colors and street signs,21,2,True,23,0.91304347826087,95166,0.38763942724882,aprox. colours of houses,4,1,Mouse,Firefox,No,,Male,55,
id5b556187482e5,AB,default,4,2,"Look at street signs in the Street View, look at the road shapes",23,9,True,32,0.71875,149113,0.345766596988269,,,,,,,,,,,,,,,,,,,,,,
id020b4ab09e3fa8,AB,default,4,2,"Orient, move by blocks (crossings) while paying close attention to the map.",32,2,True,34,0.941176470588235,109012,0.371224261543516,,,,,,,,,,,,,,,,,,,,,,
id348a8d8e4be9b,AB,default,2,3,"First figuring out in which direction I was looking, the rest was easy, but I went wrong first and had to double back.",34,16,True,50,0.68,167711,0.19131532378117,CD,color,3,4,"Same strategy, this time I made sure I'm looking in the correct direction. Then started navigating and counted intersections and went left or right when I needed.",30,1,True,31,0.967741935483871,113608,0.45442201882487,"Showing different buildings more clearly, possibly influenced by facade color.",4,1,Mouse,Firefox,Yes,minor red-green weakness,Male,40,
id6fee2b4901c66,AB,default,4,2,The biggest problem was to see if I'm looking in the wrong direction at point A. I missed indication if I'm looking towards east or west.,39,1,True,40,0.975,140564,0.23443779448046,CD,color,5,4,The colouring of the buildings helped very much.,46,1,True,47,0.978723404255319,113176,0.25250506823708,The colours of the facades of the buildings.,3,2,Mouse,Chrome,No,,Male,46,
idaad03927a42938,AB,default,5,5,"Schauen, ob ich am Standort A etwas markantes in der Karte sehe, was ich in der Streetview wieder finde
Streetview damit in korrekte Richtung ausrichten
Nebenstraßen zählen beim Navigieren durch die Streetview
Am Ende unterschiedelie Gebäudefassaden mit Gebäudegrundrissen matchen",25,1,True,26,0.961538461538462,127049,0.308744110922623,CD,color,4,4,"Sorry, I failed the ""How would you grade the amount of information on the map?"" on the previous task, I meant to say ""perfect"", not ""too much"". Should have been a 3. A -2..0..2 scale would have been more intuitive to me ;)

Thought the colors would be facades but did not seem to be the case. Maybe roofs? Use the one-way street to get bearings, checked with streetname on map and streetview on first corner. Then again counting of branching streets.

Oops, Englisch ;)",25,2,True,27,0.925925925925926,145450,0.425853018848166,Due to the task I thought facade colors but did not feel like it was the case.,5,1,Touchpad,Firefox,No,,Male,38,
id49415d738d1d,AB,color,1,2,look at streetnames,30,1,False,31,0.967741935483871,434993,0.544917567817382,CD,default,2,2,counting numberof street intersections,57,0,True,57,1,231515,0.117024631028596,"different types  for e.g. residental, industrial ...",2,2,Mouse,Safari,No,,Male,64,
id3226c3e6056f18,AB,color,4,2,"Look for building shapes from the map to orient the view, then count intersections and turn as indicated, mostly counting cross streets but keeping an eye out on building sizes to make sure I wasn't getting lost.",25,0,True,25,1,126204,0.351539668111383,CD,default,3,2,"Same as before, count intersections, compare with building features, setbacks, paths, etc. as I passed them to follow the route.",14,12,False,26,0.538461538461538,149128,0.437914207095812,Unique color per building unit.,5,1,Mouse,Firefox,No,,Male,42,"The second task (C→D) is going to be faster for folks because they feel comfortable with the task interface, not because the map with less info is better. Unless the test alternates A/B groups presenting the other interface in different orders the results from the whole test should be thrown out. Sorry but I feel like the first map was better even though I breezed through the second task faster."
id834d0c5f6d7c18,AB,color,4,4,I used the curves in the road to orient myself then tracked the roads going past when moving.,30,1,True,31,0.967741935483871,87708,0.276764881306296,CD,default,3,2,Street signs,33,1,True,34,0.970588235294118,145119,0.41600678483493,The colour of paint a building has in the real world,5,1,Mouse,Firefox,No,,Male,17,
idb2370ea757b818,AB,default,4,4,Looking at street signs and unit numbers displayed on the wall,27,2,True,29,0.931034482758621,179625,0.659024145936084,CD,color,5,4,"Same with previous task, but this time, colour coded objects on the map helps a lot to get to more accurate position (in this case, location D)",29,1,True,30,0.966666666666667,163560,0.831300341220878,Building's wall,5,1,Mouse,Firefox,No,,Male,34,
ide201293aef0fb,AB,color,4,3,to continuously follow the building colors and counting how many streets i should pass on the left map before turning on the right map,22,18,False,40,0.55,158164,0.214746234119748,,,,,,,,,,,,,,,,,,,,,,
id887f3c682fa628,AB,default,5,3,"To follow the way which was on the map, by checking every time a street crosses if I need to turn or not, and on which side",30,1,True,31,0.967741935483871,76369,0.160382995325001,,,,,,,,,,,,,,,,,,,,,,
id0cb178bfcefa,AB,color,3,3,Mostly tried follwoing Left-rirght pattern of route and was using reading the streetname signs to check if I was in correct place.,41,5,True,46,0.891304347826087,207448,0.220894205415967,CD,default,2,3,Same as in task 1: check left-right and count blocks. I got lost some place and had to check street names to return on right path,32,19,True,51,0.627450980392157,166610,0.1286661506566,building colours,4,1,Mouse,Chrome,Yes,Deuteranopia (red-green defect),Male,59,"I know the topic of the thesisi, so I am not a good subject....!"
idbcb439e9cc474,AB,default,4,3,Finding the street names on StreetView,46,0,True,46,1,189968,0.273110749369873,CD,color,4,3,Same as A to B,54,1,True,55,0.981818181818182,367044,0.373630715800381,Color of the walls of the building,3,1,Mouse,Firefox,No,,Male,44,
idc1aee24df2956,AB,default,5,3,very easy going - I picked up the next cross and looked at the names of the streets as in real life.,31,1,False,32,0.96875,299859,0.187986218209081,CD,color,5,3,I had the same strategy,23,1,True,24,0.958333333333333,257163,0.449661754677754,different buildings (residental or office bulidings),2,3,Mouse,Edge,No,,Male,55,
id05294f85058cb,AB,default,5,2,Talent in sense of direction,25,0,True,25,1,104442,0.492011961192145,,,,,,,,,,,,,,,,,,,,,,
ida11ff60e75dd7,AB,color,3,4,facade colours and street names,27,1,True,28,0.964285714285714,206345,0.44885832926679,CD,default,3,3,street names,25,1,True,26,0.961538461538462,144673,0.502525788413427,facade colors,5,1,Mouse,Chrome,No,,Female,37,
idc09cc4f69f566,AB,color,5,3,Straßennamen auf den häusern ansehen und Blöcke abzählen. die eingefärbten Häuser haben aber auch etwas beigetragen,48,0,True,48,1,180039,0.287443951238054,CD,default,2,2,"same, aber aber die eingefärbten häuser haben schon geholfen",58,0,True,58,1,147621,0.344668250179587,"habe zunächst an Gebäudenutzungen gedacht, habe dann aber schnell gecheckt, dass es die Gebäudefarbe repräsentiert",5,1,Mouse,Chrome,No,,Male,28,spannende Idee
id504a948efb16b,AB,default,4,3,"First understand which way I am facing, then continue the marked path. Once I went past the turn I had to take because of moving too quick through street view, but quickly realized and went back one street, and confirmed with the map.",22,3,True,25,0.88,104457,0.296249325624969,CD,color,5,4,"Locate myself first, then continue. After making turns, double check with the map that I'm following the path.",21,3,True,24,0.875,86755,0.483803828703559,Facade color maybe?,5,3,Mouse,Firefox,No,,Male,27,"The second map felt better at locating the final destination. But for the navigation, I think both maps are good, I do not see much difference."
idc6bec09147342,AB,color,1,2,Look at the street name signs and hoping to go in the right direction.,27,16,True,43,0.627906976744186,358672,0.576732272192694,CD,default,4,3,"Again look at street name signs, but this time also look at house numbers, to get the direction and distance right.",23,2,True,25,0.92,144949,0.624807953937262,I don't have any idea. ,4,1,Touchpad,Chrome,No,,Female,25,
id7967a5ded3dd2,AB,default,4,3,"find orientation, then follow along the route on the map",34,1,True,35,0.971428571428571,152847,0.261477754983865,CD,color,4,5,"couldn't find orientation, so guessed to first intersection then followed the route on the map",31,1,True,32,0.96875,178014,0.368614549651027,i have no idea,5,1,Touchpad,Chrome,No,,Male,30,
id38052d7084f6a,AB,color,3,2,"The hardest part is the beginning. There are four possible directions, and I don't know where to start. My strategy is to reorient myself by using visual clues from street view imagery and then comparing them to the building images on the minimap on the left. Once I'm really sure about the right direction, my strategy is to count the road intersections as i move forward.",29,2,True,31,0.935483870967742,115410,0.359929290351831,CD,default,3,2,Same as before,24,0,True,24,1,165691,0.713878211361296,Paint color?,4,1,Mouse,Brave,No,-,Male,27,-
id2ed749481bf8b,AB,color,4,2,"Check that I am facing the right direction with the one-way street, then follow turns (left after one intersection, etc.)",45,6,False,51,0.882352941176471,177505,0.0571653140339985,CD,default,4,3,also check house numbers,38,0,True,38,1,198785,0.203198476315277,I don't know,2,1,Touchpad,Firefox,No,,Male,35,
idadde1259dcdec,AB,default,4,3,Looking at intersections and streets I passed next to. They were like checkpoints.,78,4,True,82,0.951219512195122,212650,0.292180002768683,,,,,,,,,,,,,,,,,,,,,,
